"Source:","C:\Users\David\Desktop\ILLT_29-07-23\PCB\MB-V2HC\matchboxHC.kicad_sch"
"Date:","30.04.2024 22:33:49"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C4","22uF","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~",""
"2","3","C2, C3, C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~",""
"3","2","H1, H2","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","~",""
"4","1","J1","EXT_PRG","Connector:Conn_01x06_Socket","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~",""
"5","1","J3","DC_JACK","Connector:Conn_01x02_Socket","Connector_BarrelJack:BarrelJack_Horizontal","~",""
"6","1","J4","RGB_OUTPUT","Connector:Conn_01x07_Socket","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-7-3.5-H_1x07_P3.50mm_Horizontal","~",""
"7","3","Q1, Q2, Q3","IRF540N","Transistor_FET:IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.irf.com/product-info/datasheets/data/irf540n.pdf",""
"8","8","R1, R2, R3, R4, R5, R6, R7, R8","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~",""
"9","1","U1","ESP-12F","RF_Module:ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf",""
"10","1","U3","TS2940CW-3.3",":AMS1117-3.3_1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
